"time","votecount"
1467260112.04846,4055831
1467260411.89603,4055843
1467260711.70756,4055860
1467261013.10483,4055872
1467261312.76225,4055886
1467261611.222,4055900
1467261911.72543,4055921
1467262211.56369,4055941
1467262511.28609,4055965
1467262812.64036,4055981
1467263112.0474,4055999
1467263411.97556,4056020
1467263712.3378,4056043
1467264011.86358,4056062
1467264311.25576,4056098
1467264612.1039,4056136
1467264912.04887,4056174
1467265211.76206,4056218
1467265512.72037,4056260
1467265812.31531,4056306
1467266111.91155,4056356
1467266412.34642,4056411
1467266711.8026,4056454
1467267012.39023,4056528
1467267313.49707,4056598
1467267612.61309,4056656
1467267912.04447,4056707
1467268211.94164,4056771
1467268511.98044,4056844
1467268811.7221,4056912
1467269111.57207,4056978
1467269412.02377,4057056
1467269711.39973,4057134
1467270012.39131,4057221
1467270311.65714,4057301
1467270612.25299,4057431
1467270912.98708,4057541
1467271212.36149,4057646
1467271511.41729,4057735
1467271812.74982,4057825
1467272111.96269,4057929
1467272411.93541,4058031
1467273012.44068,4058241
1467273311.95402,4058340
1467273612.79281,4058448
1467273912.35002,4058556
1467274212.03222,4058679
1467274512.68429,4058812
1467274811.05051,4058930
1467275112.05432,4059046
1467275411.93604,4059180
1467275712.48013,4059295
1467276012.03952,4059419
1467276948.17078,4059776
1467291004.13003,4066111
1467291611.80428,4066387
1467291909.40473,4066530
1467292208.61763,4066665
1467292503.7406,4066783
1467292804.09601,4066891
1467293104.76234,4067039
1467293406.45356,4067183
1467294005.55774,4067408
1467294305.3681,4067524
1467294605.75697,4067656
1467294906.11495,4067767
1467295207.15485,4067892
1467295805.30688,4068114
1467296104.91205,4068254
1467296404.46052,4068368
1467296704.8817,4068479
1467297006.9772,4068604
1467297604.13631,4068828
1467297904.36191,4068936
1467298204.70808,4069066
1467298503.61836,4069179
1467298806.03826,4069298
1467299103.565,4069424
1467299403.27825,4069532
1467299704.87535,4069641
1467300005.24557,4069747
1467300610.60441,4069972
1467300916.79667,4070080
1467301203.83367,4070185
1467301804.16414,4070429
1467302106.65323,4070555
1467302404.66883,4070675
1467302704.18651,4070774
1467303004.6374,4070888
1467303303.64615,4070998
1467303604.48364,4071127
1467303904.29615,4071246
1467304205.93453,4071343
1467304504.01046,4071438
1467304804.67965,4071539
1467305109.91327,4071644
1467305405.1555,4071753
1467305703.72752,4071848
1467306009.66085,4071963
1467306304.96151,4072069
1467306603.70621,4072155
1467306908.45909,4072263
1467307204.23094,4072377
1467307503.56287,4072495
1467307804.73222,4072612
1467308104.01391,4072705
1467308405.84223,4072807
1467308704.37184,4072913
1467309004.27228,4073015
1467309303.24593,4073114
1467309610.01151,4073208
1467309904.39239,4073299
1467310204.28317,4073398
1467310504.32065,4073491
1467310804.39687,4073590
1467311103.89185,4073665
1467311404.54298,4073775
1467312142.66271,4074029
1467312304.84239,4074076
1467316509.17805,4075516
1467316805.0604,4075629
1467317106.60648,4075752
1467317402.99411,4075867
1467317705.6306,4075987
1467318003.9049,4076116
1467318307.82756,4076231
1467318606.67044,4076344
1467318904.4255,4076446
1467319204.02489,4076558
1467319505.67103,4076660
1467319804.45816,4076779
1467320104.1113,4076897
1467320404.9672,4077016
1467320705.36225,4077142
1467321003.60904,4077253
1467321604.62602,4077478
1467321905.5899,4077582
1467322204.6204,4077675
1467322505.65152,4077785
1467322804.46044,4077878
1467323105.91796,4077974
1467323404.43713,4078079
1467323703.61435,4078196
1467324005.05621,4078278
